"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 11 05:10:33 UTC 2026","Sat Apr 11 05:10:35 UTC 2026","1367","","Atualizacao de Card","","Atualizar nome do card com sucesso","","Atualizar nome do card com sucesso",""
"passed","Sat Apr 11 05:10:15 UTC 2026","Sat Apr 11 05:10:15 UTC 2026","68","","Criação de Boards no Trello","","Não deve criar board com permissionLevel inválido","","Não deve criar board com permissionLevel inválido",""
"passed","Sat Apr 11 05:10:05 UTC 2026","Sat Apr 11 05:10:06 UTC 2026","1064","","Autenticacao API Card","","Atualizar card passando em branco o parametro key","","Atualizar card passando em branco o parametro key",""
"passed","Sat Apr 11 05:10:09 UTC 2026","Sat Apr 11 05:10:10 UTC 2026","1119","","Autenticacao API Card","","Atualizar card passando em branco o parametro token","","Atualizar card passando em branco o parametro token",""
"passed","Sat Apr 11 05:10:32 UTC 2026","Sat Apr 11 05:10:33 UTC 2026","1199","","Fluxo E2E visual de card","","Criar, mover e deletar card em board fixo","","Criar, mover e deletar card em board fixo",""
"passed","Sat Apr 11 05:10:24 UTC 2026","Sat Apr 11 05:10:25 UTC 2026","1113","","CRUD de Card no Trello","","Criar card com idMembers válido porém inexistente","","Criar card com idMembers válido porém inexistente",""
"passed","Sat Apr 11 05:10:14 UTC 2026","Sat Apr 11 05:10:14 UTC 2026","839","","Criação de Boards no Trello","","Criar board com permissionLevel válido","","Criar board com permissionLevel válido",""
"passed","Sat Apr 11 05:10:30 UTC 2026","Sat Apr 11 05:10:32 UTC 2026","1556","","Delete de Card","","Excluir um card válido","","Excluir um card válido",""
"passed","Sat Apr 11 05:10:11 UTC 2026","Sat Apr 11 05:10:12 UTC 2026","785","","Criação de Boards no Trello","","Criar board com sucesso","","Criar board com sucesso",""
"passed","Sat Apr 11 05:10:20 UTC 2026","Sat Apr 11 05:10:21 UTC 2026","1362","","CRUD de Card no Trello","","Criar card com todos os campos","","Criar card com todos os campos",""
"passed","Sat Apr 11 05:10:27 UTC 2026","Sat Apr 11 05:10:28 UTC 2026","1091","","CRUD de Card no Trello","","Criar card com idCardSource inválido","","Criar card com idCardSource inválido",""
"passed","Sat Apr 11 05:09:58 UTC 2026","Sat Apr 11 05:09:59 UTC 2026","861","","Autenticacao API Card","","Criar card sem o parametro token","","Criar card sem o parametro token",""
"passed","Sat Apr 11 05:10:13 UTC 2026","Sat Apr 11 05:10:14 UTC 2026","706","","Criação de Boards no Trello","","Criar board com permissionLevel válido","","Criar board com permissionLevel válido",""
"passed","Sat Apr 11 05:10:02 UTC 2026","Sat Apr 11 05:10:04 UTC 2026","1150","","Autenticacao API Card","","Atualizar card sem o parametro key","","Atualizar card sem o parametro key",""
"passed","Sat Apr 11 05:10:02 UTC 2026","Sat Apr 11 05:10:02 UTC 2026","876","","Autenticacao API Card","","Criar card sem o parametro key","","Criar card sem o parametro key",""
"passed","Sat Apr 11 05:10:05 UTC 2026","Sat Apr 11 05:10:05 UTC 2026","825","","Autenticacao API Card","","Criar card passando em branco o parametro key","","Criar card passando em branco o parametro key",""
"passed","Sat Apr 11 05:10:26 UTC 2026","Sat Apr 11 05:10:27 UTC 2026","845","","CRUD de Card no Trello","","Criar card com idCardSource inexistente","","Criar card com idCardSource inexistente",""
"passed","Sat Apr 11 05:10:35 UTC 2026","Sat Apr 11 05:10:36 UTC 2026","1396","","Atualizacao de Card","","Atualizar descricao do card","","Atualizar descricao do card",""
"passed","Sat Apr 11 05:10:29 UTC 2026","Sat Apr 11 05:10:29 UTC 2026","781","","CRUD de Card no Trello","","Criar card com idList vazio","","Criar card com idList vazio",""
"passed","Sat Apr 11 05:10:00 UTC 2026","Sat Apr 11 05:10:02 UTC 2026","1123","","Autenticacao API Card","","Deletar card sem o parametro token","","Deletar card sem o parametro token",""
"passed","Sat Apr 11 05:10:17 UTC 2026","Sat Apr 11 05:10:17 UTC 2026","70","","Criação de Boards no Trello","","Não deve aceitar defaultLabels inválido","","Não deve aceitar defaultLabels inválido",""
